snapshot_date,snapshot_timestamp,event_id,sport_key,sport_title,commence_time,home_team,away_team,bookmaker_key,bookmaker_title,bookmaker_last_update,market_key,market_last_update,home_price,away_price,draw_price
20260326,2026-03-26 00:21:55 EDT,89f4834fc319b6e8ad1d734b2dee4472,basketball_wncaab,WNCAAB,2026-03-27T18:30:00Z,Vanderbilt Commodores,Notre Dame Fighting Irish,draftkings,DraftKings,2026-03-26T04:21:25Z,h2h,2026-03-26T04:21:25Z,-225,185,
20260326,2026-03-26 00:21:55 EDT,89f4834fc319b6e8ad1d734b2dee4472,basketball_wncaab,WNCAAB,2026-03-27T18:30:00Z,Vanderbilt Commodores,Notre Dame Fighting Irish,fanduel,FanDuel,2026-03-26T04:21:38Z,h2h,2026-03-26T04:21:38Z,-230,184,
20260326,2026-03-26 00:21:55 EDT,89f4834fc319b6e8ad1d734b2dee4472,basketball_wncaab,WNCAAB,2026-03-27T18:30:00Z,Vanderbilt Commodores,Notre Dame Fighting Irish,betrivers,BetRivers,2026-03-26T04:21:48Z,h2h,2026-03-26T04:21:48Z,-245,180,
20260326,2026-03-26 00:21:55 EDT,89f4834fc319b6e8ad1d734b2dee4472,basketball_wncaab,WNCAAB,2026-03-27T18:30:00Z,Vanderbilt Commodores,Notre Dame Fighting Irish,betmgm,BetMGM,2026-03-26T04:21:36Z,h2h,2026-03-26T04:21:36Z,-235,190,
20260326,2026-03-26 00:21:55 EDT,dd316675d9b1d54fe3f465a1fbc7ee24,basketball_wncaab,WNCAAB,2026-03-27T21:00:00Z,UConn Huskies,North Carolina Tar Heels,draftkings,DraftKings,2026-03-26T04:21:25Z,h2h,2026-03-26T04:21:25Z,-100000,5000,
20260326,2026-03-26 00:21:55 EDT,2020f18703258789171e61a7cab03a64,basketball_wncaab,WNCAAB,2026-03-27T23:30:00Z,UCLA Bruins,Minnesota Golden Gophers,draftkings,DraftKings,2026-03-26T04:21:25Z,h2h,2026-03-26T04:21:25Z,-3600,1500,
20260326,2026-03-26 00:21:55 EDT,2020f18703258789171e61a7cab03a64,basketball_wncaab,WNCAAB,2026-03-27T23:30:00Z,UCLA Bruins,Minnesota Golden Gophers,fanduel,FanDuel,2026-03-26T04:21:38Z,h2h,2026-03-26T04:21:38Z,-4000,1260,
20260326,2026-03-26 00:21:55 EDT,2020f18703258789171e61a7cab03a64,basketball_wncaab,WNCAAB,2026-03-27T23:30:00Z,UCLA Bruins,Minnesota Golden Gophers,betmgm,BetMGM,2026-03-26T04:21:36Z,h2h,2026-03-26T04:21:36Z,-5000,1350,
20260326,2026-03-26 00:21:55 EDT,e9ad912c3502be366231fba4e243b7b9,basketball_wncaab,WNCAAB,2026-03-28T02:00:00Z,LSU Tigers,Duke Blue Devils,draftkings,DraftKings,2026-03-26T04:21:25Z,h2h,2026-03-26T04:21:25Z,-395,310,
20260326,2026-03-26 00:21:55 EDT,e9ad912c3502be366231fba4e243b7b9,basketball_wncaab,WNCAAB,2026-03-28T02:00:00Z,LSU Tigers,Duke Blue Devils,betrivers,BetRivers,2026-03-26T04:21:48Z,h2h,2026-03-26T04:21:48Z,-435,290,
20260326,2026-03-26 00:21:55 EDT,e9ad912c3502be366231fba4e243b7b9,basketball_wncaab,WNCAAB,2026-03-28T02:00:00Z,LSU Tigers,Duke Blue Devils,fanduel,FanDuel,2026-03-26T04:21:38Z,h2h,2026-03-26T04:21:38Z,-420,310,
20260326,2026-03-26 00:21:55 EDT,e9ad912c3502be366231fba4e243b7b9,basketball_wncaab,WNCAAB,2026-03-28T02:00:00Z,LSU Tigers,Duke Blue Devils,betmgm,BetMGM,2026-03-26T04:21:36Z,h2h,2026-03-26T04:21:36Z,-400,310,
20260326,2026-03-26 00:21:55 EDT,c001d894fa89c02c7b9fdbd78fdff10b,basketball_wncaab,WNCAAB,2026-03-28T16:00:00Z,Texas Longhorns,Kentucky Wildcats,draftkings,DraftKings,2026-03-26T04:21:25Z,h2h,2026-03-26T04:21:25Z,-1350,800,
20260326,2026-03-26 00:21:55 EDT,c001d894fa89c02c7b9fdbd78fdff10b,basketball_wncaab,WNCAAB,2026-03-28T16:00:00Z,Texas Longhorns,Kentucky Wildcats,fanduel,FanDuel,2026-03-26T04:21:38Z,h2h,2026-03-26T04:21:38Z,-2000,920,
20260326,2026-03-26 00:21:55 EDT,c001d894fa89c02c7b9fdbd78fdff10b,basketball_wncaab,WNCAAB,2026-03-28T16:00:00Z,Texas Longhorns,Kentucky Wildcats,betrivers,BetRivers,2026-03-26T04:21:48Z,h2h,2026-03-26T04:21:48Z,-1430,650,
20260326,2026-03-26 00:21:55 EDT,c001d894fa89c02c7b9fdbd78fdff10b,basketball_wncaab,WNCAAB,2026-03-28T16:00:00Z,Texas Longhorns,Kentucky Wildcats,betmgm,BetMGM,2026-03-26T04:21:36Z,h2h,2026-03-26T04:21:36Z,-2500,1100,
20260326,2026-03-26 00:21:55 EDT,490d70557bb069eca1d6ea8521e3dbd8,basketball_wncaab,WNCAAB,2026-03-28T16:30:00Z,Michigan Wolverines,Louisville Cardinals,fanduel,FanDuel,2026-03-26T04:21:38Z,h2h,2026-03-26T04:21:38Z,-192,154,
20260326,2026-03-26 00:21:55 EDT,490d70557bb069eca1d6ea8521e3dbd8,basketball_wncaab,WNCAAB,2026-03-28T16:30:00Z,Michigan Wolverines,Louisville Cardinals,draftkings,DraftKings,2026-03-26T04:21:25Z,h2h,2026-03-26T04:21:25Z,-198,164,
20260326,2026-03-26 00:21:55 EDT,490d70557bb069eca1d6ea8521e3dbd8,basketball_wncaab,WNCAAB,2026-03-28T16:30:00Z,Michigan Wolverines,Louisville Cardinals,betrivers,BetRivers,2026-03-26T04:21:48Z,h2h,2026-03-26T04:21:48Z,-215,155,
20260326,2026-03-26 00:21:55 EDT,490d70557bb069eca1d6ea8521e3dbd8,basketball_wncaab,WNCAAB,2026-03-28T16:30:00Z,Michigan Wolverines,Louisville Cardinals,betmgm,BetMGM,2026-03-26T04:21:36Z,h2h,2026-03-26T04:21:36Z,-220,180,
