snapshot_date,snapshot_timestamp,event_id,sport_key,sport_title,commence_time,home_team,away_team,bookmaker_key,bookmaker_title,bookmaker_last_update,market_key,market_last_update,home_price,away_price,draw_price
20260331,2026-03-31 02:59:12 EDT,05b4546ee775071ed92ea4b756550cc8,basketball_wncaab,WNCAAB,2026-04-03T23:00:00Z,UConn Huskies,South Carolina Gamecocks,betmgm,BetMGM,2026-03-31T06:58:13Z,h2h,2026-03-31T06:58:13Z,-300,240,
20260331,2026-03-31 02:59:12 EDT,05b4546ee775071ed92ea4b756550cc8,basketball_wncaab,WNCAAB,2026-04-03T23:00:00Z,UConn Huskies,South Carolina Gamecocks,betrivers,BetRivers,2026-03-31T06:58:25Z,h2h,2026-03-31T06:58:25Z,-250,185,
20260331,2026-03-31 02:59:12 EDT,98c5a1da1f89a9a3b8b53a6c689caf93,basketball_wncaab,WNCAAB,2026-04-04T01:30:00Z,UCLA Bruins,Texas Longhorns,draftkings,DraftKings,2026-03-31T06:58:13Z,h2h,2026-03-31T06:58:13Z,114,-135,
20260331,2026-03-31 02:59:12 EDT,98c5a1da1f89a9a3b8b53a6c689caf93,basketball_wncaab,WNCAAB,2026-04-04T01:30:00Z,UCLA Bruins,Texas Longhorns,fanduel,FanDuel,2026-03-31T06:58:15Z,h2h,2026-03-31T06:58:15Z,100,-122,
20260331,2026-03-31 02:59:12 EDT,98c5a1da1f89a9a3b8b53a6c689caf93,basketball_wncaab,WNCAAB,2026-04-04T01:30:00Z,UCLA Bruins,Texas Longhorns,betrivers,BetRivers,2026-03-31T06:58:25Z,h2h,2026-03-31T06:58:25Z,-115,-115,
20260331,2026-03-31 02:59:12 EDT,98c5a1da1f89a9a3b8b53a6c689caf93,basketball_wncaab,WNCAAB,2026-04-04T01:30:00Z,UCLA Bruins,Texas Longhorns,betmgm,BetMGM,2026-03-31T06:58:13Z,h2h,2026-03-31T06:58:13Z,105,-125,
20260331,2026-03-31 04:43:43 EDT,05b4546ee775071ed92ea4b756550cc8,basketball_wncaab,WNCAAB,2026-04-03T23:00:00Z,UConn Huskies,South Carolina Gamecocks,draftkings,DraftKings,2026-03-31T08:43:28Z,h2h,2026-03-31T08:43:28Z,-278,225,
20260331,2026-03-31 04:43:43 EDT,05b4546ee775071ed92ea4b756550cc8,basketball_wncaab,WNCAAB,2026-04-03T23:00:00Z,UConn Huskies,South Carolina Gamecocks,fanduel,FanDuel,2026-03-31T08:43:27Z,h2h,2026-03-31T08:43:27Z,-250,198,
20260331,2026-03-31 04:43:43 EDT,05b4546ee775071ed92ea4b756550cc8,basketball_wncaab,WNCAAB,2026-04-03T23:00:00Z,UConn Huskies,South Carolina Gamecocks,betmgm,BetMGM,2026-03-31T08:43:29Z,h2h,2026-03-31T08:43:29Z,-300,240,
20260331,2026-03-31 04:43:43 EDT,05b4546ee775071ed92ea4b756550cc8,basketball_wncaab,WNCAAB,2026-04-03T23:00:00Z,UConn Huskies,South Carolina Gamecocks,betrivers,BetRivers,2026-03-31T08:43:39Z,h2h,2026-03-31T08:43:39Z,-250,185,
20260331,2026-03-31 04:43:43 EDT,98c5a1da1f89a9a3b8b53a6c689caf93,basketball_wncaab,WNCAAB,2026-04-04T01:30:00Z,UCLA Bruins,Texas Longhorns,draftkings,DraftKings,2026-03-31T08:43:28Z,h2h,2026-03-31T08:43:28Z,114,-135,
20260331,2026-03-31 04:43:43 EDT,98c5a1da1f89a9a3b8b53a6c689caf93,basketball_wncaab,WNCAAB,2026-04-04T01:30:00Z,UCLA Bruins,Texas Longhorns,fanduel,FanDuel,2026-03-31T08:43:27Z,h2h,2026-03-31T08:43:27Z,104,-128,
20260331,2026-03-31 04:43:43 EDT,98c5a1da1f89a9a3b8b53a6c689caf93,basketball_wncaab,WNCAAB,2026-04-04T01:30:00Z,UCLA Bruins,Texas Longhorns,betrivers,BetRivers,2026-03-31T08:43:39Z,h2h,2026-03-31T08:43:39Z,-115,-115,
20260331,2026-03-31 04:43:43 EDT,98c5a1da1f89a9a3b8b53a6c689caf93,basketball_wncaab,WNCAAB,2026-04-04T01:30:00Z,UCLA Bruins,Texas Longhorns,betmgm,BetMGM,2026-03-31T08:43:29Z,h2h,2026-03-31T08:43:29Z,105,-125,
20260331,2026-03-31 06:42:00 EDT,05b4546ee775071ed92ea4b756550cc8,basketball_wncaab,WNCAAB,2026-04-03T23:00:00Z,UConn Huskies,South Carolina Gamecocks,draftkings,DraftKings,2026-03-31T10:41:02Z,h2h,2026-03-31T10:41:02Z,-278,225,
20260331,2026-03-31 06:42:00 EDT,05b4546ee775071ed92ea4b756550cc8,basketball_wncaab,WNCAAB,2026-04-03T23:00:00Z,UConn Huskies,South Carolina Gamecocks,fanduel,FanDuel,2026-03-31T10:41:02Z,h2h,2026-03-31T10:41:02Z,-280,220,
20260331,2026-03-31 06:42:00 EDT,05b4546ee775071ed92ea4b756550cc8,basketball_wncaab,WNCAAB,2026-04-03T23:00:00Z,UConn Huskies,South Carolina Gamecocks,betmgm,BetMGM,2026-03-31T10:41:24Z,h2h,2026-03-31T10:41:24Z,-300,240,
20260331,2026-03-31 06:42:00 EDT,05b4546ee775071ed92ea4b756550cc8,basketball_wncaab,WNCAAB,2026-04-03T23:00:00Z,UConn Huskies,South Carolina Gamecocks,betrivers,BetRivers,2026-03-31T10:41:36Z,h2h,2026-03-31T10:41:36Z,-345,240,
20260331,2026-03-31 06:42:00 EDT,98c5a1da1f89a9a3b8b53a6c689caf93,basketball_wncaab,WNCAAB,2026-04-04T01:30:00Z,UCLA Bruins,Texas Longhorns,draftkings,DraftKings,2026-03-31T10:41:02Z,h2h,2026-03-31T10:41:02Z,114,-135,
20260331,2026-03-31 06:42:00 EDT,98c5a1da1f89a9a3b8b53a6c689caf93,basketball_wncaab,WNCAAB,2026-04-04T01:30:00Z,UCLA Bruins,Texas Longhorns,fanduel,FanDuel,2026-03-31T10:41:02Z,h2h,2026-03-31T10:41:02Z,104,-128,
20260331,2026-03-31 06:42:00 EDT,98c5a1da1f89a9a3b8b53a6c689caf93,basketball_wncaab,WNCAAB,2026-04-04T01:30:00Z,UCLA Bruins,Texas Longhorns,betrivers,BetRivers,2026-03-31T10:41:36Z,h2h,2026-03-31T10:41:36Z,100,-134,
20260331,2026-03-31 06:42:00 EDT,98c5a1da1f89a9a3b8b53a6c689caf93,basketball_wncaab,WNCAAB,2026-04-04T01:30:00Z,UCLA Bruins,Texas Longhorns,betmgm,BetMGM,2026-03-31T10:41:24Z,h2h,2026-03-31T10:41:24Z,105,-125,
